ID,fisk_id1,fisk_id2,Longitude,Latitude,Season,Date,Fjord,Distance_farm,Treatment,Location,Farm,Length_cm,Weight_g,Gonade_g,Length,Weight,Fulton,Liver,Gonad,Stomach,Ovarie,Code_sex_maturity,Maturity,Sex,nitrogen,dorsal fin,otolitt,redskap_Norw,Sampling_gear,Age,Age_first_spawn,Spawning_zones,pan1,pan2,NEAC,CC,Genotype,FA_G,FA_M,FA_L,Lauric,Tridecanoic,Myristic,Myristoleic,Pentadecanoic,Palmitic,Palmitoleic,Heptadecanoic,cis_10_Heptadecenoic,Stearic,Elaidic,Oleic,Vaccenic,Linoleic,Arachidic,g_Linolenic_Acid,cis_11_Eicosenoic,Linolenic,Eicosadienoic,Behenic,Eicosatrienoic_3n6,Erucic,Eicosatrienoic_3n3,Arachidonic,Docosadienoic,Lignoceric,Eicosapentaenoic,Nervonic,Docosatetraenoic,Docosapentaenoic,Docosahexaenoic,w3,w6,SFA,MFA,PUFA
F_106,WP3-106,FO-32,21.47586,70.26548,Q419,2019-10-17,Frakkfjord,15326.6942523406,Control,Frakkfjord,0,66,2200,NA,66,2200,0.7652280379553107,46,NA,41,NA,mature_male_frakk,mature,male,1,1,1,Garn,gillnet,4,NA,NA,A,A,0,1,CC,0,1,1,0,4.7420101738,6.1519124823,0.0729304407,0.5089407887,12.1256806728,7.6087430507,0.1690297403,0.2462757666,2.592073217,0.2085452499,10.4565440611,3.7110854372,1.9777908564,0.1129527115,0.1163850966,16.0806204644,0.8096055392,0.374967381,0.260513928,0.0753130825,1.1655792335,0.1400960457,0.5464203452,1.0705099456,0.2141570612,8.634369666,1.0235596346,0.0245591248,0.0683944153,18.7104343877,29.5310853711,4.1859458321,26.877270775600003,40.57388333869999,32.548845886
F_110,WP3-110,OO-02,21.40759,70.15301,Q419,2019-10-14,Olderfjord,16153.4178882379,Control,Olderfjord,0,50.5,1143,NA,50.5,1143,0.8875076312650381,29,NA,67,NA,immature_male_older,immature,male,1,1,1,Jukse,hooks,3,NA,NA,B,B,0.05,0.95,CC,0,1,1,0,4.2937150429,3.0831391168,0.0528162253,0.4048391288,13.4085950062,5.6140117565,0.3223232921,0.4251862778,3.8568712122,0.1744066031,18.4983441991,6.7693923378,1.6332525704,0.1345795057,0.0365779581,13.3550591028,0.8147495978,0.6047748616,0.1155677738,0.0658381664,0.7977042962,0.2843633049,0.9359319879,0.6498365184,0.0682902391,8.3769462063,0.6892814482,0.0271318693,0.069823593,14.4366508017,24.8010364763,3.9533439321,25.6879203176,46.376202246800005,27.935877435800002
F_114,WP3-114,OO-06,21.40759,70.15301,Q419,2019-10-15,Olderfjord,16153.4178882379,Control,Olderfjord,0,76,3820,59,76,3820,0.8702070272634495,412,59,55,1,mature_female_older,mature,female,1,1,1,Garn,gillnet,5,NA,NA,A,A,0,1,CC,1,1,1,0,3.5011115975,2.4326738899,0.0344605828,0.2622713965,9.3663564681,3.9386763552,0.1491639689,0.2629081306,2.0207683718,0.0578183653,36.119057334,4.1199424102,12.1140017628,0.0845018293,0.0834301724,6.7291788447,4.5558544162,0.4214289107,0.023628258,0.0471088996,0.4456264538,0.1416004757,0.2832544738,0.5391641976,0.0201557874,5.3276343825,0.1855274743,0.0182347117,0.0731900139,6.6412700648,24.2976966997,13.506623128599998,17.8606315674,51.89319595090001,30.246172481700004
F_117,WP3-117,OO-09,21.40759,70.15199,Q419,2019-10-15,Olderfjord,16184.5486694326,Control,Olderfjord,0,52,1078,NA,52,1078,0.766670459717797,22,NA,25,NA,immature_male_older,immature,male,1,1,1,Jukse,hooks,3,NA,NA,A,A,0.01,0.99,CC,0,1,1,0.0646906788,5.8316428986,6.6906053004,0.0869579717,0.7811118222,18.5206468013,8.7706566156,0.4327818058,0.4576083044,3.8348155926,0.2807584257,14.8446720847,7.114657725,1.4852806913,0.138430098,0.0593259576,14.0357185327,0.5286704592,0.3706833009,0.0648738998,0.060833727,0.7235054987,0.141589753,0.6403675149,0.1107779946,0.0347566697,5.4207880407,0.9844924517,0.030875138,0.1700265257,7.2873977195,14.5050827302,2.7581443242999995,36.3943555672,47.29902761020001,16.3066168224
F_120,WP3-120,OO-12,21.40759,70.15199,Q419,2019-10-15,Olderfjord,16184.5486694326,Control,Olderfjord,0,69,2500,29,69,2500,0.7610141579073937,110,29,45,1,mature_female_older,mature,female,1,1,1,Jukse,hooks,4,NA,NA,A,B,0,1,CC,1,1,1,0.0301708622,3.9960756076,8.5143215838,0.083729852,0.606288921,14.5156896009,7.5491152598,0.1784217749,0.3719967986,2.4865375911,0.0269329807,14.0749715794,3.349354028,2.0927525719,0.0972993851,0.0956181501,21.8589144622,1.2318625736,0.2747260965,0.0536676865,0.0162638794,1.3092420657,0.1362719257,0.2349950102,0.8462951754,0.0061334438,5.9394921364,0.9706580345,0.0166066213,0.0196338256,9.0159605159,17.2041109755,3.5772575048,30.484606456899996,49.5949150609,19.920478482
F_127,WP3-127,OO-19,21.40759,70.15199,Q419,2019-10-15,Olderfjord,16184.5486694326,Control,Olderfjord,0,57,1350,3,57,1350,0.7289692374981775,15,3,58,1,immature_female_older,immature,female,1,1,1,Jukse,hooks,4,NA,NA,A,A,0,1,CC,1,1,1,0,5.7913671806,4.4843537038,0.076614626,0.5146302549,13.8467122205,8.9422231176,0.3644926561,0.2763504176,3.9024011687,0.2250484856,14.1071671751,5.9197299045,2.1098324104,0.1095478847,0.1281750637,11.0857686245,0.7211718845,0.4670451317,0.0882784869,0.0789453513,0.6854540446,0.153754657,1.0880494069,0.6600633702,0.1528229726,10.3642807317,0.4617155461,0.0252846219,0.1419663028,13.0267525978,25.7965866997,4.5573953561,29.2546065288,41.7800719416,28.9653215299
F_132,WP3-132,OO-24,21.40759,70.15301,Q419,2019-10-16,Olderfjord,16153.4178882379,Control,Olderfjord,0,80.5,4050,24,80.5,4050,0.7763675630756711,112,24,118,1,mature_female_older,mature,female,1,1,1,Garn,gillnet,6,NA,NA,A,B,0,1,CC,1,1,1,0,4.6617494979,8.9602127377,0.0919534177,0.3583293757,14.4635530343,6.7812107604,0.1599120474,0.4349331563,2.0808604025,0.0656002872,13.9642294958,3.208646672,2.0514506272,0.1036535157,0.0879330457,18.8100119737,0.8813402713,0.3090985349,0.121402911,0.0923459153,1.2991251458,0.1186120435,0.3273925648,0.8371602304,0.0104917815,5.6583857663,0.8217899971,0.0116173346,0.0471150706,13.1798823858,21.055445893399998,3.7169982529,30.9201653037,45.477500905999996,23.6023337904
F_134,WP3-134,OO-26,21.40759,70.15301,Q419,2019-10-16,Olderfjord,16153.4178882379,Control,Olderfjord,0,71.5,4080,23,71.5,4080,1.1162000501332499,186,23,625,1,mature_female_older,mature,female,1,1,1,Garn,gillnet,5,NA,NA,B,B,0,1,CC,1,1,1,0,4.6492794252,6.8583503561,0.0790798946,0.3161080568,16.5747907014,6.9102859558,0.1890776655,0.4022226614,3.0713000164,0.067665789,18.328786152,3.669361103,2.0056431305,0.1109920083,0.0834980497,15.8957237288,0.9512705498,0.3448275002,0.035989862,0.0628189962,1.0107506195,0.1137804718,0.3067222512,0.6752477182,0.0188600704,5.9234886501,0.6857363818,0,0.0171363361,10.6412058981,18.7012544866,3.4787576460000005,31.824748162099997,47.049612285900004,21.1256395519
F_136,WP3-136,OO-28,21.40759,70.15301,Q419,2019-10-16,Olderfjord,16153.4178882379,Control,Olderfjord,0,81.5,5150,36,81.5,5150,0.9513370326181604,440,36,94,1,mature_female_older,mature,female,1,1,1,Garn,gillnet,5,NA,NA,A,A,0,1,CC,1,1,1,0,2.8120784706,4.9411007649,0.0657249827,0.3972905051,12.6904981479,6.4039413198,0.2271383564,0.3352207218,3.982103955,0.2572613861,16.1520692108,4.6744520621,1.9520464773,0.1572736504,0.1320182677,14.0580382711,0.8186333037,0.3781693653,0.082846738,0.105378762,0.8035417627,0.1563027438,0.9297211985,0.8777432499,0.0133558445,10.7308779143,0.4466519383,0.4306109195,0.1349842001,14.8529255097,27.827136845200002,4.8056882402,25.303686432800003,43.1969016554,31.499411911800003
F_140,WP3-140,OO-32,21.40759,70.15301,Q419,2019-10-16,Olderfjord,16153.4178882379,Control,Olderfjord,0,59.5,1880,NA,59.5,1880,0.892497384519799,49,NA,45,NA,immature_male_older,immature,male,1,1,1,Garn,gillnet,6,NA,NA,A,A,0,1,CC,0,1,1,0,3.8933331714,5.70516591,0.0925130175,0.517377168,12.6474701595,10.0046701943,0.3181623998,0.3371411172,3.5522189023,0.3606442253,14.6992784924,6.9374573314,2.0047813547,0.1455615424,0.1102606809,10.9726115957,0.8159990268,0.5530165436,0.1064693224,0.0840734163,1.000571226,0.1767425816,0.820645075,0.9069608962,0.0652206629,11.9394151757,0.4622195973,0.0258720308,0.1851175393,10.5590296435,24.8650862948,4.505609997500001,26.950979238699997,44.86710679709999,28.1819139644
F_147,WP3-147,20-F-04,21.44,70.22,Q220,2020-04-08,Frakkfjord,14655.9582571351,Control,Frakkfjord,0,92.5,8800,596,92.5,8800,1.111878862061477,402,596,248,1,mature_female_frakk,mature,female,1,1,1,Garn,gillnet,10,5,5,A,A,0,1,CC,1,1,1,0,6.3617824073,5.7398309365,0.0664372354,0.6031438854,21.7351093547,7.8037158152,0.3058400009,0.5685668605,4.4306625761,0.1959252667,26.0501535788,7.1668320246,1.0747524605,0.1834263693,0.0611793408,12.9734836103,0.2188987821,0.6304117356,0.2480081972,0.0316123085,0.8867442659,0.0596112827,0.1757945108,0.1374889989,0.0170195474,0.6026669415,0.7615472247,0.0129553218,0.0268239158,0.8695752441,2.6334298446,2.1241946768999997,39.624823274799994,56.4734058821,3.9017708431
F_187,WP3-187,20-F-19,21.44,70.22,Q220,2020-04-16,Frakkfjord,14655.9582571351,Control,Frakkfjord,0,75,3500,14,75,3500,0.8296296296296296,245,14,64,1,mature_female_frakk,mature,female,1,1,1,Garn,gillnet,7,NA,NA,A,A,0,1,CC,1,1,1,0.1315929512,5.1712420034,6.512839501,0.0940775242,0.5292563745,14.1603059296,6.2263970285,0.1849500426,0.4042350255,2.7237722246,0.1586818867,18.3764931605,3.1231647778,2.3995768642,0.1288877297,0.1164049862,13.5525828882,1.3410642916,0.270582789,0.2380767541,0.0875297357,0.5222145312,0.1153904511,0.4628017898,0.8088137492,0.0288292393,8.1929941461,0.501164502,0.0185390788,0,13.4175380436,24.125499505,4.1642489929,29.809752749999998,42.959011324600006,27.231235925300002
F_19,WP3-19,BI-19,21.81979,70.19185,Q419,2019-10-10,Bergsfjord,0,Impact,Bergsfjord,1,105,9600,173,105,9600,0.829284094590217,761,173,153,1,mature_female_berg,mature,female,1,1,1,Jukse,hooks,10,NA,NA,A,A,0,1,CC,1,1,1,0,4.4639513381,5.2289240301,0.0784198852,0.497596441,15.8092514812,0.1494135981,0.1039115889,0.5108648523,2.9831760149,0.1233869658,22.3570874774,5.1629247873,2.3859128721,0.1294256914,0.1099744269,2.902750839,0.3071334586,2.1915178815,0.0746237868,0.0726695458,0.9770478242,0.1371221302,0.5364660035,0.947573533,0.0277726871,9.8516538517,0.6722982738,0.0196129743,0.0368884718,21.1506472879,33.562224613699996,6.2637272371,29.3186330595,32.9341945031,37.7471724373
F_195,WP3-195,20-B-02,21.81979,70.19185,Q220,2020-05-10,Bergsfjord,0,Impact,Bergsfjord,1,66,2101,14,66,2101,0.7307927762473218,14,14,19,1,mature_female_berg,mature,female,1,1,1,Jukse,hooks,4,NA,NA,A,A,0,1,CC,1,1,1,0.059704442,3.7302008653,5.27272565,0.10706526,0.5085038604,12.3511424917,10.5791842465,0.162796208,0.4175819248,2.3485591978,0.1255318336,16.720707032300002,5.7506507579,2.4246237206,0.1190603468,0.0915553104,14.7410886475,0.7022648808,0.4341355252,0.0835841214,0.0726877394,0.9677086157,0.1081662905,0.8063669607,0.6043331436,0.0539992764,7.509535624,0.4646937585,0.0212724404,0.1185425416,12.5420272862,22.7028954629,4.4549748403,24.6902764598,49.87421207679999,25.4355114634
F_198,WP3-198,20-F-27,21.47209,70.212724,Q220,2020-05-11,Frakkfjord,13313.9882727926,Control,Frakkfjord,0,75,3900,NA,75,3900,0.9244444444444444,96,NA,68,NA,mature_male_frakk,mature,male,1,1,1,Garn,gillnet,7,6,1,A,A,0,1,CC,0,1,1,0.0538483643,3.7099524649,4.4935601831,0.0565596828,0.4519932522,15.7659367937,6.1643059828,0.3154592159,0.5665070691,4.6395108194,0.1862821958,20.0717226534,4.957197388,1.4949388173,0.1490276949,0.0743759874,11.9015927491,0.7748002599,0.447270721,0,0.0769009193,0.7641291329,0.1664806512,1.0942913412,0.6711465079,0.0764193858,6.1718561825,0.728307712,0.038537927,0.2770976055,13.6599903396,21.7703635961,3.8974622211,29.6557081742,45.3966045659,24.9476872598
F_201,WP3-201,20-B-05,21.81979,70.19185,Q220,2020-05-12,Bergsfjord,0,Impact,Bergsfjord,1,91,5800,138,91,5800,0.7696686841717635,743,138,158,1,mature_female_berg,mature,female,1,1,1,Jukse,hooks,8,7,2,A,A,0,1,CC,1,1,1,0,2.2117539895,1.8771296299,0.0146081474,0.1925866182,8.9201846569,3.2257169571,0.1254781767,0.2230970811,2.3313787439,0.0410743553,42.8038785037,4.0528206134,14.7603114298,0.0888440976,0.0844509573,0.0919769189,6.9673509542,0.3668339514,0.00973247,0.0588369619,0.2451305005,0.1172660329,0.3317789569,0.4043222748,0.0178327449,4.9318100264,0.1605715541,0.0076903628,0.0389355949,5.2966167375,25.1449398215,16.014224894899996,15.774921127599997,50.8588746315,33.366204240799995
F_202,WP3-202,20-B-06,21.81979,70.19185,Q220,2020-05-12,Bergsfjord,0,Impact,Bergsfjord,1,49,1223,NA,49,1223,1.0395328477080128,102,NA,37,NA,immature_male_berg,immature,male,1,1,1,Jukse,hooks,3,NA,NA,A,A,0,1,CC,1,1,1,0,5.2854837494,2.9217135506,0.0336116743,0.3196418158,12.9984965378,5.1345281981,0.2280569166,0.3329863104,2.973817408,0.1531419904,0.8914238741,6.5339481409,28.6367171667,0.1348681243,0.1388200871,0.2000232553,10.9388661049,1.0145606116,0.0217089756,0.0913930812,0.3611644301,0.2040898992,0.699823095,0.6240348658,0.0199976378,9.448312774,0.1714205462,0.0178695994,0.118605423,9.3508741565,47.75859941939999,31.2232185068,24.9037847159,13.8122484198,61.28396686439999
F_204,WP3-204,20-B-08,21.81979,70.19185,Q220,2020-05-12,Bergsfjord,0,Impact,Bergsfjord,1,59.5,1811,NA,59.5,1811,0.8597408315773171,83,NA,44,1,immature_male_berg,immature,male,1,1,1,Jukse,hooks,6,NA,NA,A,B,0.2,0.8,CC,0,1,1,0.0626245276,2.8449466033,5.1045984326,0.0806679867,0.1846425385,11.6248822327,8.8243106626,0.1151795306,0.1731548598,2.1855744404,0.0647964356,22.3709060423,4.4178189136,7.0317859175,0.1163410019,0.0898677115,13.9002815742,2.6280983023,0.3522180706,0.0193692564,0.0783214261,0.8681488741,0.0703911192,0.3548432344,0.5010385812,0.0268233639,6.4059163782,0.4181796634,0.3843667506,0.0191005712,8.6808049966,22.207998982699998,8.792441691899999,22.2849819279,51.1182650123,26.5967530594
F_206,WP3-206,20-B-10,21.81979,70.19185,Q220,2020-05-12,Bergsfjord,0,Impact,Bergsfjord,1,69.5,2759,16,69.5,2759,0.8218589457402558,61,16,157,1,mature_female_berg,mature,female,1,1,1,Jukse,hooks,5,NA,NA,A,A,0,1,CC,1,1,1,0.1773585468,5.5050718781,6.4998237016,0.0586046234,0.695201794,17.436274474,6.7243677596,0.2404687864,0.4823503842,3.5632441089,0.1986869094,21.5510748643,5.2593918371,4.7134553529,0.2119563199,0.0924379808,11.2341741243,1.7468989561,0.8164015611,0.1117725958,0.1274548366,0.8666252173,0.2531234077,0.3034221712,0.5781925238,0.0497523185,2.6045424191,0.8319633522,0.0636368918,0.1364528474,6.8658174556,14.5733914827,6.6950013182,34.49092452399999,47.2072390718,18.3018364041
F_207,WP3-207,20-B-11,21.81979,70.19185,Q220,2020-05-12,Bergsfjord,0,Impact,Bergsfjord,1,60.5,2275,10,60.5,2275,1.027342552697875,149,10,104,1,mature_female_berg,mature,female,1,1,1,Jukse,hooks,4,NA,NA,A,A,0,1,CC,1,1,1,0,3.4563354825,2.1384912715,0.0190490058,0.2090116826,8.7261553614,3.2324089966,0.1425057856,0.1919637278,2.1202815017,0.1043568921,38.2574485123,3.7886085351,17.2283882452,0.0983269567,0.0754154691,0.1647702304,6.6564064309,0.6447733121,0.0427586292,0.0670194439,0.2679678257,0.1312915406,0.3673141968,0.3820573483,0.0277448608,5.2703045002,0.1583944565,0.0104817568,0.0399901016,5.9799779405,28.649952328100003,18.775449772200002,16.961611532,46.1849681823,36.853420286
F_212,WP3-212,20-B-16,21.81979,70.19185,Q220,2020-05-13,Bergsfjord,0,Impact,Bergsfjord,1,58,2060,6,58,2060,1.0558038459961459,219,6,51,1,immature_female_berg,immature,female,1,1,1,Jukse,hooks,5,NA,NA,A,B,0,1,CC,1,1,1,0.0155421382,1.6516295803,2.2743044426,0.0208849429,0.2624525445,10.2244706285,3.5030057704,0.2025797247,0.0195468312,3.3171437268,0.3770000987,49.5565622782,4.7115590579,0.0329984747,0.0255458228,0.0597320817,0.5536738227,8.5050580138,0.0743724249,0.0152110084,0.08880694,0.0472169363,0.2018678212,0.5011280607,0.0266907209,0.0254464935,6.3185438663,0.2022151538,0.0212480844,0.0487132418,7.1148492673,13.716972671299999,0.8049767873000001,18.0143261103,58.9916648921,22.994008997699996
F_213,WP3-213,20-B-17,21.81979,70.19185,Q220,2020-05-13,Bergsfjord,0,Impact,Bergsfjord,1,54.5,1472,8,54.5,1472,0.9093232661199093,138,8,31,1,immature_female_berg,immature,female,1,1,1,Jukse,hooks,4,NA,NA,A,B,0.01,0.99,CC,1,1,1,0,1.844213563,1.712052346,0.0169080398,0.185214715,9.0880580459,3.1264809845,0.1752766995,0.235948011,2.9786422271,0.0922152258,39.9657748849,4.1789141516,16.4625407249,0.1623453447,0.0691773651,0.1105900391,6.4280100087,0.4773192165,0.0570314294,0.056161734,0.3419611831,0.1161827083,0.3362322306,0.3701483188,0.0155146374,4.7571551329,0.2710652899,0.0097457289,0.0317942032,6.3273258103,27.694998579599996,17.781325318799997,16.218349007999997,48.33985780969999,35.441793182199994
F_214,WP3-214,20-B-18,21.81979,70.19185,Q220,2020-05-13,Bergsfjord,0,Impact,Bergsfjord,1,51.5,1277,5,51.5,1277,0.9349087191951878,101,5,45,1,immature_female_berg,immature,female,1,1,1,Jukse,hooks,3,NA,NA,A,B,0,1,CC,1,1,1,0,3.0608024957,1.9167935944,0.0158592299,0.0984216925,9.0237085146,2.8402330465,0.1585243426,0.1415059214,3.167606372,0.0857020355,36.4810988468,3.6205296437,17.8963981046,0.1337962125,0.0747579696,0.0999391188,7.6280349791,0.536277136,0.0443115659,0.0909085215,0.2447121804,0.148029702,0.4202590735,0.3673868673,0.0202235456,5.0099846603,0.1704711683,0.0129960432,0.0364431151,6.4542843007,29.545139882699996,19.3989837157,17.624188335799996,43.700051191300005,38.675760472899995
F_217,WP3-217,20-B-21,21.81979,70.19185,Q220,2020-05-13,Bergsfjord,0,Impact,Bergsfjord,1,44.5,908,4,44.5,908,1.0303999182942796,37,4,59,1,immature_female_berg,immature,female,1,1,1,Jukse,hooks,3,NA,NA,A,B,0,1,CC,1,1,1,0.0193104476,3.4332309763,2.7462970053,0.0189940914,0.2264574775,8.9596027142,3.9230033544,0.152559695,0.1630135407,2.3493946906,0.0694176992,33.6590927654,3.8259155856,15.8814203933,0.0953468906,0.0566431788,0.1080757117,6.2518414617,0.4791917964,0.0582128527,0.0831738219,0.320206083,0.1252002071,0.4824704518,0.5053947099,0.0667840889,6.5952678055,0.1778123677,0.0159286047,0.0440747057,9.1066648257,31.752627937300005,17.504222956800003,18.1071968387,42.2655311991,39.627271962500004
